	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
15	9.60E+17	9.60E+17	"Today I felt upbeat so I quaffed a bottle of brandy, smoked opiate &amp;amp;amp; then clawed out my eyes in an ugly episode of raging despair."	en	Tijuana	Sacramento	opiate	
51	9.60E+17	9.60E+17	She’s like heroin	en	Brasilia	leonina ascendente escorpião		
57	9.60E+17	9.60E+17	@HunterMarks54 Have you tried heroin	en	Central Time (US & Canada)	"Ohio, USA"		
60	9.60E+17	9.60E+17	84/Loomis: Margaret says her son is doing crack &amp; heroin and she wants him removed because he's becoming violent. #ChicagoScanner	en	Central Time (US & Canada)	Chicago IL 	crack&amp	violent
63	9.60E+17	9.60E+17	@FireCatAcedia for me benzos work *too* well; i became dependent on ativan in my early teens and had to quit	en		seattle justice warrior		
64	9.60E+17	9.60E+17	@Ignasea @jonphaedrus Fortunately I have no access to opioids so I don’t exactly have to worry about that	en	Central Time (US & Canada)	"Illinois, USA"		
113	9.60E+17	9.60E+17	@AnnCoulter You need to stop doing Oxy while watching Tv....	en	Azores	Somewhere inside Trump Tower		
133	9.60E+17	9.60E+17	@J_Nubz @AdamSchefter You'll probably overdose on Oxy's at some point soon. Mother nature will take care of the rest.	en	America/New_York	"Florida, USA"		
138	9.60E+17	9.60E+17	finna pop a codeine pill and KO	en		working at the pyramid tonight		
157	9.60E+17	9.60E+17	Is this what heroin feels like? 🤤🦅	en	Pacific Time (US & Canada)	"New Jersey, USA"		
166	9.60E+17	9.60E+17	3 ppl dm me about buying my bottle of codeine on snap 😂😂	en			social	
183	9.60E+17	9.60E+17	@OwenBenjamin @TMobile Using music written by a heroin junkie who killed himself with images of infants is a weird move as well.	en			heroin	suicide
184	9.60E+17	9.60E+17	@ZackBornstein @realDonaldTrump Are you on heroin ?	en				
212	9.60E+17	9.60E+17	@Thomas1774Paine Drunk or on Heroin? Drug use is bad in Indiana and they cause accidents a lot.	en	Eastern Time (US & Canada)	USA	opioid	accident
222	9.60E+17	9.60E+17	Indiana distributing opioid overdose kits to 34 rural counties	en				
