Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
"@david_colquhoun To be accurate, it’s an excellent analgesic if you’ve never used it before!"			en			
"Cancer, diabetes, excessive consumption of flu drugs and analgesic, its a miracle if i can live up to half a century lmao"	Pacific Time (US & Canada)		en			
@apssara2013 Twitter is only analgesic. Please find the root problem...	Pacific Time (US & Canada)	Coimbatore	en			
"Tramadol, an atypical oral analgesic, appears to be effective."	Bucharest	New York	en			
@greyXstar @jlou_2 @chrislhayes @waltshaub My analgesic of choice is single malt.		"Seattle, WA"	en			
"Coworker: Is it 430?

Me: (Holds up a tube of oral analgesic gel) No, it's tooth hurty!"	Eastern Time (US & Canada)	RVA	en			
"analgesic : A skin condition that enlarges blood vessels in the face, causing redness of the nose and other parts of the face."		"Dallas, TX"	en	analgesic	redness of nose	
@jamilinAdnan jamilin are trash also	Beijing	Manchester United 	en			
@elnouraksa Take an analgesic and you'll be fine 👍👍		"Riyadh,Kingdom of Saudi Arabia"	en			
@narcotic_kitten You will pay your dues in the afterlife.		Rich Port	en			
@narcotic_kitten dolls are just boneless waifu pillows		Rich Port	en			
"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.  Carl Gustav Jung #carlgustavjung"	Central Time (US & Canada)		en			
"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.  Carl Gustav Jung #carlgustavjung"	Central Time (US & Canada)	USA	en			
@dessloc_ @edursito Alright cause I’m gonna contact that police about this illegal narcotic distribution 😕			en			
@narcotic_kitten Its a really cute doll	London	United Kingdom	en			
@narcotic_kitten preach queen 💅	London	United Kingdom	en			
"I thought you wanted yours 
Like I wanted mine"		Mpumalanga|Durban	en			
"Drake -30 for 30 freestyle. 
He snapped on this tune 💣"		Mpumalanga|Durban	en			
blessed to see another day 😄	Atlantic Time (Canada)	temple of truth	en			
my sleep schedule sux 🤢	Atlantic Time (Canada)	temple of truth	en			
my time will come again sometime... no rush	Atlantic Time (Canada)	temple of truth	en			
"Anne Mae, now I dun gave up that narcotic it’s time for you to come home.."	Pacific Time (US & Canada)	United States	en			
"who burned cigarette holes in their arms protesting the narcotic tobacco haze of Capitalism,"			en			
@narcotic_kitten liking oreimo isnt ok if you arent 16	Mid-Atlantic	The Free Territory of The Othe	en			
@whenwhy876 i'm loopy due to narcotic pain medication and craving meat			en	narcotic	loopy	
"@Lexim96 CBD, kratom, or if you want actual medication neurontin (gabapentin) isn't a benzo, non narcotic and helped with me anxiety"	Eastern Time (US & Canada)		en	neurontin	anxiety	
@whenwhy876 i'm loopy due to narcotic pain medication and craving meat			en			
"I have an opiate stomach ache 🤢 Quiet day with hubs and doge though so I will be okay, just feel awful."	London	Cosplay @abirdofhermes | FFXIV @artimisiachecco	en	opiate	stomach ache	
can’t believe there’s an opiate epidemic in sweden i have zero	Stockholm		en			
"@EPWVLaw @cspanwj They passed legislation that gave Drug Corps, Big Business, and America, an Opiate Epidemic..."	Central Time (US & Canada)	Bugscuffel Community AR	en			
"@PrisonPlanet @JamesWynn14 Don't pay any attention to Chuck, he's got an Opiate Problem. @chuckschumer"	Eastern Time (US & Canada)	"District of Columbia, USA"	en			
"@cjolds @cspanwj I would gladly live with my pain, rather than have that Opiate Monkey on my back..."	Central Time (US & Canada)	Bugscuffel Community AR	en			
@pointsonpain @AnnaDeavereS @HHSGov The so-called opiate epidemic has nothing to do with legit pain patients needing pain medication.		"Massachusetts, USA"	en			
@chronicpainwar A person with one kidney can only take opiate based medication because they cannot have antiflamatories		"Victoria, Australia"	en			
@pointsonpain @AnnaDeavereS @HHSGov The so-called opiate epidemic has nothing to do with legit pain patients needing pain medication.		"Massachusetts, USA"	en			
@DonSmit95028268 @NanaSewDear @realDonaldTrump It is not about people who need pain medication. It is about opioid abuse.	Pacific Time (US & Canada)		en			
Casual reminder that pain-patients in the US outnumber opioid abusers 50 to 1 &amp; taking medication is not the same as abusing drugs.	Dublin	Northern Ireland	en			
@realDonaldTrump Some people sincerely need pain medicine. Please show compassion for these people's fear of losing their medication.	America/Chicago	Earth	en			
"Marijuana is the oldest natural, purest, and healthiest pain relief medication in the world. It's use dates back to 10 B.C."	Central Time (US & Canada)		en			
"I have a lot of money,  pain medication is money. Maybe i can't drink wine now"		paradise	en			
"@dlhnola30 @ravensspirit68 oh Denise, please try to hold on. Are you getting any pain medication at all?"	Central Time (US & Canada)	"St. Catharines, Ontario"	en			
"@cspanwj There is a better pain medication, it's called Marijuana!"	Eastern Time (US & Canada)	In The Ether	en			
"there are pain that can not be treated with medication, so you can not do it but tolerate it and train yourself.."		"Makati City, National Capital "	en			
@ravensspirit68 @crpswarrior1 Canada is exactly the same as the US regarding pain medication. Does nobody do research anymore?	Eastern Time (US & Canada)		en			
UNPOPULAR OPINION: I Refuse To Stop Making People With Chronic Pain Jump Through Hoops To Get Medication			en			
"a chatterer is a polypharmacy: axiomatical, yet reproachless"	Pacific Time (US & Canada)		en			
"Polypharmacy can certainly contribute to constipation issues: A few common classes that cause constipation - TCA's, Opioids, CCB's #pharmacy"		Minnesota	en	polypharmacy	constipation	
@DrHollyHolmes @novacarerx Pharmacist need to step up to the plate more when they see this kind of Polypharmacy and more legal Say also.			en			
@novacarerx True!! The game of inappropriate polypharmacy one-upsmanship is very dangerous!!!	Eastern Time (US & Canada)		en			
@_natmo Oh my god! They're gonna hurt for months. Have you got any codeine?	London	Nottinghamshire	en			
“fell in love with a nigga drinking codeine. how you gone fall for a nigga drinking creatine.”	Eastern Time (US & Canada)	live long josh & Ty. ATL GA	en			
