Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
I attack with the Mighty Morphin' Power Ranger.			en			
"Ever get to that point of just giving up and think "" what the fuck, already down here, might as well give heroin a try"""	Pacific Time (US & Canada)	Purgatory 	en			
Religion is the opiate of the masses  #Marxism #InternationalDayofHappiness			en			
@CodyWolfeMusic Awesome Song Cody! But just wondering who should take the blame for the drunk. The person or the booze☺	Nairobi	"Eldoret, Kenya"	en			
"and i'm sippin' on that codeine, not brandy"	Lisbon		en			
i used to work at Buzzards ROOST power station but it was hydro electric	Eastern Time (US & Canada)		en			
@cody_hur Cody	Adelaide	Unknown	en			
you're the Tylenol I take when my head hurts	Brasilia	errejota	en	tylenol	head hurts	indication
"""You're the Tylenol I take when my head hurts
You're the sunshine on my life."""	Pacific Time (US & Canada)		en			
3 day cleanse: Vicodin + Blueberry yogurt	Atlantic Time (Canada)	"Milan, NY"	en			
Leave some morphine at my door			en			
Free lil cody n james bitch! 🤞🏿🤘🏿😩	Mountain Time (US & Canada)	prolly mo$t likely getin money	en			
"@__luxe__tina__ yup &amp; i get to use the tanning beds, the hydro massage bed, go to any other planet fitness"		"Florida, USA"	en			
@tracieportelli @narcos I’ve just started. I’m on season one but liking it so far		Huddersfield	en			
Sister Morphine is such a good song		THE MOON	en			
"@Vampyricworld GO GO POWER RANGERS

MIGHTY MORPHIN POWA RANGAAAAS"	Pacific Time (US & Canada)		en			
@Rx_Khaleel Is it Warri Weed or Tramadol?		"Kano, Nigeria"	en			
@archaicbro Cody and Goldust? They have trans family member if I remember corectly and seem very supportive	Pacific Time (US & Canada)		en			
@Rx_Khaleel Tramadol it's....something you always have access to😂😂		"Kano, Nigeria"	en			
"I got paid in money, oxy, molly, and a full bottle of Hennessy for a freestyles verse and hook 💀😂"	Mountain Time (US & Canada)	"Austin, TX"	en			
I have baby fever so bad. Fuck somebody give me some Tylenol.	Alaska		en	tylenol	baby fever	indication
"@smileyhoseokk @BTS_twt Remember to untag oxe and tag bts when you replying them😉
@BTS_twt #iheartawards #bestfanarmy #btsarmy"	Pacific Time (US & Canada)		en			
@eGoaTzM @lntechs @oMonstrous bro im down too cody gifted it to me a long time ago lmfao	Central Time (US & Canada)	"Chicago, IL"	en			
Opioids really going turn on ya digestive system	Central Time (US & Canada)	"Los Angeles, CA"	en			
OMG IT’S GOING TO BE A MOVIE 😱 I MUST WATCH IT!  But why did they change the heroin? I like the original one 😭	Kuala Lumpur		en			
CODY is mine			en			
@eGoaTzM @lntechs @oMonstrous We miss Cody.	Central Time (US & Canada)	"Chicago, IL"	en			
Just played ping pong with Cody for like 4 hours. Dudes a brother man. Love that guy		"Salt Lake City, UT"	en			
Codeine Crazy is a song that will never die	Eastern Time (US & Canada)	Houston	en			
how do you sleep at night? is it the codeine and sprite	Bucharest		en			
Aaw the snow in Blackburn is lovely. Its covered all the heroin needles down the back alley	London		en			
@Daily_Star @robbiewilliams are you taking the narcotics again lol	London		en			
Do you know someone who suffers from an opioid addiction?	Eastern Time (US & Canada)		en			
"@prettychubbyveg @fluffykyunie Ok let’s put it this way what would I be able to do without you, Britt, abs, Cody, and edwardo"		"St Peters, MO"	en			
"@Donksta88 personally i would go full water loop, but 1 of the hydro h115i etc depending on what u can fit in ur pc"	London	UK	en			
@Daily_Express Do Vicar’s do this kind of thing? Armed robbery in his younger days? And now he’s taking heroin? Plus he’s never out the pub?		Glasgow UK	en			
Have they or yourself received  treatment for an opioid addiction? Rehab? Detox? Etc...	Eastern Time (US & Canada)		en			
its just Mr Turnbulls republic idea maybe good like snowy hydro an inland rail.its probably very well thought out		Berri 	en			
Fell in love with them narcotics ❤️	Quito	Dip 🙇🏾‍♂️	en			
Have they or yourself received  treatment for an opioid addiction? Rehab? Detox? Etc...	Eastern Time (US & Canada)		en			
UK National Grid: #Large #Hydro is currently generating 0.55GW (1.12%) out of a total of 48.94GW		unit	en			
"You don't need to be a heroin addict or a performance poet to experience extremity you just have to love someone N. Hornby, How to be Good"	Central America		en			
thanks for the tylenol			en			
@SydJG ☹ sorry i suppose it's like taunting a recovering a heroin addict with a spoon and a lighter 😂	London	The Emerald City	en			
Shout out to me kicking my heroin addiction in 2015 I'll see u again one day	Pacific Time (US & Canada)		en			
@bilalhassam @Trevornoah Is this the morphine talking Dr B?		Diaspora	en			
@Ladyaloha702 Well before meth.opiates etc...		"Las Vegas, NV"	en			
The Heroin Whore			en			
#np Cody Kirmss – Little Leprechaun	Kyiv	Ukraine	en			
"@bowelbabe Good work misssus, remember, Opiates are a wonderful thing 😍"	Dublin	"York, UK"	en			
"@WithPGV Alkohol
Before
Children
Death
Heroin
Death"		nhy	en			
@BrophShane I thought it was a reference to Brian Cody! 😳	Amsterdam		en			
[2/27]: Chuck Taylor &amp; Bram def. Cody Rhodes &amp; Jack Evans. The crowd could not have cared less. (17:39)	London	A web server	en			
Cody Ko has such a pretty smile 😭 I seriously can’t handle my feelings rn	Central Time (US & Canada)	"Corpus Christi, TX"	en			
(trip voice) whats morphine  #emibot			en			
@hannah_alabama Cody bought me razors for Valentine’s Day because same...	Central America	"Kansas, USA"	en			
"@Rap_City_SA and this rappers must stop sipping lean codeine mixed with sprite, that sizzurp.couse you guys are abusing it."			en			business
@Asli_Jacqueline Best heroin👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻		"Ludhiana, India"	en			
"@ErrolNazareth Lou Reed, Rock and Roll Animal. Intro/Sweet Jane, Heroin."		Toronto	en			
@cody_hur Yes cody	Adelaide	Unknown	en			
is it procrastinating if i'm watching cody creelman's vlogs and i have a post mortem practical tomorrow? i don't think sooo	Pacific Time (US & Canada)	haggis land	en			
"@Asingwire95 @PhathahOfficial Nah. It uses Hydro Electricity, lol"	West Central Africa	"Lagos, Nigeria"	en			
@lorabels WAAh she is one of those limited edition Year of the Ox stuffed toys by SM and I named her Oxy! Haha	Asia/Manila	Pink Diamond's Colony	en			
I should be sleep but i need to finish this episode of narcos hnnnnnggg	Pacific Time (US & Canada)	40516	en			
@MollyJongFast When you’ve just hit on how to synthesise heroin for the boss’s Jones			en			
#NowPlaying Cody Sparks Band - Covered on @TrueTexasRadio #TexasLoud #TexasProud #TxMusic247		"Texas, USA"	en			
Heroin is never going to leave my family alone💔			en			
"Also, Cody is basically a fucking Phoenix Wright villain now and it’s the fucking best."	Hawaii	"Adelaide, South Australia"	en			
#YouAndIGoTogetherLike heroin and cocaine.			en			
"There's no way na si Cody Rhodes is thr Leader Of The Bullet Club.

Calling the attention of AJ Styles"		"Quezon City, National Capital "	en			
@jamiladilj2j Have you watched the series narcos?		"Leicester, England"	en			
"@Dawn_Eaton1 @narcos Me too, am on episode 5 -
Season 1, took a bit to get into but can’t wait to keep binge watching"	Melbourne	Melbourne	en			
"@Specneedsmom4 @Biofreeze @PerformPain For me, tramadol works wonders to help me function calmly and without any pain!"	Eastern Time (US & Canada)	"Connecticut, USA"	en			
@cody_hur No cody *I carry you to the bed*	Adelaide	Unknown	en			
"Just like nicotine, heroin, morphine suddenly, I'm a fiend and you're all I need"		spcp-ceu	en			
crack &gt; fentanyl &gt; meth &gt; weed &gt; alcohol	Pacific Time (US & Canada)	"Stockton, CA"	en			
@letsgvtlost omg cody yes	Caracas	l s c k h (✿◠‿◠)	en			
"Plan: uuwi sa Palao to be with fam, read my homeworks
What wil happen: The rest of season 1 of Narcos."	Beijing	"Cabuyao, Calabarzon"	en			
@InFaPixar @thqrts @DeltaLouie @Hxzas @alpen374 Fucking Crackhead Craig what's next Methadone Martin 😂😂😂	Pacific Time (US & Canada)	OGK	en			
@OrwellNGoode Opioids are a white people drug		United States	en			
@cody_hur What is it cody	Adelaide	Unknown	en			
"@bryanwx Dear lord your fever is out of control, more Tylenol please!"	Quito	"Brick, NJ"	en			
@realcanberra hey CODY @FrayJoker DID U KNOW ABOUT THIS?	Canberra	the nations capital	en			
Always pleasant to bump into one of your methadone patients pretending he’s homeless and begging in town.	London		en			
Shawty thicker than the codeine but that is stress that I don't need.		Location: bando	en			
Snakes were super black tar heroin and I remake Jimmy Neutron starring Adam Sandler as the dicks from the orphanage.			en			
