	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
0	3010258	C1720436	Under anesthesia	C0344315	Depressed mood	C0036974	Shock	C0232092	normovolemic	C0442757	3/4	C0232092	normovolemic	C0232092	normovolemic	C3843765	65+	C0857353	Hypotensive	C0085639	Falls	C1720436	Under anesthesia	C0857353	Hypotensive	C0019080	Hemorrhage	C0221208	Traumatic injection site	C0020649	Hypotension																																																														
1	3010257	C0015967	Fever	C0001349	Acute-Phase Reaction	C0014493	Epidemic keratoconjunctivitis	C2825142	Experimental Result	C0086045	Mental concentration	C2825142	Experimental Result																																																																																
2	3009334	C0162340	Comprehension	C0278080	Physical addiction	C0162340	Comprehension	C0162340	Comprehension	C0152097	Disease of diaphragm																																																																																		
3	3008135	C0038273	Stereotypic Movement Disorder	C0007370	Catalepsy																																																																																								
4	3006723	C2825142	Experimental Result	C0518609	consideration	C0001973	Alcoholic Intoxication, Chronic	C0220929	Mental tolerance	C0220929	Mental tolerance	C0678356	alcohol effect	C0556369	Tolerance to alcohol	C0086168	Dissociation	C0220929	Mental tolerance	C0278080	Physical addiction	C0085281	Addictive Behavior	C0001973	Alcoholic Intoxication, Chronic																																																																				
5	3006616	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C0948482	analgesic effect	C0948482	analgesic effect	C3838679	4+ Answer to question	C0442759	3/6	C0442748	6/4	C0036974	Shock	C0948482	analgesic effect	C0021467	Psychological inhibition	C0424295	Hyperactive behavior	C3842674	Day 5	C0013220	Drug Tolerance	C0311392	Physical findings	C0439857	Dependence	C0344307	Absence of pain sensation	C0001721	Affect (mental function)	C0041582	Ulcer	C4035627	2 times	C0036572	Seizures																																																				
6	3005543	C3838679	4+ Answer to question	C1955473	Others - Allergy	C0237677	insensitivity	C0948482	analgesic effect	C0036572	Seizures																																																																																		
7	3004508	C0001721	Affect (mental function)																																																																																										
8	3003298	C0857353	Hypotensive	C0085580	Essential Hypertension	C1271104	Blood pressure finding	C0449381	Observation parameter	C0332128	Examined	C0020649	Hypotension	C0428886	Mean blood pressure	C0857353	Hypotensive	C3844638	Either	C1273517	Used by	C0857121	Hypertensive (finding)																																																																						
9	3002997	C0035335	Retinoblastoma	C0150312	Present	C3838679	4+ Answer to question	C0027819	Neuroblastoma	C0017636	Glioblastoma																																																																																		
10	3002866	C0221198	Lesion	C4033634	Blood Indices	C0235181	character change	C3641828	Disagree	C0206076	Reproductive History	C0001721	Affect (mental function)	C1704632	Disease Response																																																																														
11	3002317	C0870186	avoidance	C0035280	Retention (Psychology)	C0237524	Avoidance Conditioning	C0035280	Retention (Psychology)	C0035280	Retention (Psychology)	C0679052	memory process																																																																																
12	3002316	C2239178	Newborn (finding)	C3842672	Day 7	C1546956	Patient Outcome - Died	C0001721	Affect (mental function)																																																																																				
13	3001798	C0039869	Thinking, function	C2825142	Experimental Result	C0442797	Decreasing																																																																																						
14	3001783																																																																																												
15	3001782	C0524662	Opiate Addiction	C1332133	Abstinence Syndrome	C0039082	Syndrome	C2825142	Experimental Result	C1444656	Indicated	C0040822	Tremor	C0232514	Teeth chattering	C0037383	Sneezing	C0020429	Hyperalgesia	C0038587	Substance Withdrawal Syndrome																																																																								
16	3001781	C0150312	Present	C0013781	Shock from electric current	C0013781	Shock from electric current	C0013781	Shock from electric current	C0150312	Present	C1444656	Indicated	C0086168	Dissociation	C0013781	Shock from electric current	C0013781	Shock from electric current	C2825142	Experimental Result	C0013781	Shock from electric current	C0013781	Shock from electric current	C0013781	Shock from electric current																																																																		
17	3001569	C1140999	Contraction (finding)	C0150312	Present																																																																																								
18	3001233	C1457887	Symptoms	C0002395	Alzheimer's Disease	C0002395	Alzheimer's Disease	C1273517	Used by	C0002395	Alzheimer's Disease																																																																																		
19	2999639	C0037929	Spinal Cord Injuries	C0007785	Cerebral Infarction	C0917798	Cerebral Ischemia	C0150312	Present	C0184511	Improved	C0037929	Spinal Cord Injuries	C0597503	spinal shock	C0449381	Observation parameter	C0428886	Mean blood pressure	C0038454	Cerebrovascular accident	C0184511	Improved	C0007785	Cerebral Infarction	C0917798	Cerebral Ischemia	C1879646	Affected Area	C0449381	Observation parameter	C0037929	Spinal Cord Injuries	C0521654	Neurologic Deficits																																																										
20	2999399	C1630409	6/3	C1630409	6/3	C1630409	6/3	C0332128	Examined																																																																																				
21	2998521	C1140999	Contraction (finding)	C1140999	Contraction (finding)	C2825142	Experimental Result																																																																																						
22	2998507	C0004268	Attention	C3843766	<50	C0678356	alcohol effect	C0026605	Motivation																																																																																				
23	2998505	C0239110	Consciousness clear	C0021467	Psychological inhibition																																																																																								
24	2998200	C0234421	Conscious	C0015663	Fasting	C3838679	4+ Answer to question	C0342895	Fish-Eye Disease																																																																																				
25	2997432	C0237677	insensitivity	C1545588	Protection	C0086045	Mental concentration																																																																																						
26	2997411	C1720436	Under anesthesia	C0150312	Present	C0549263	opiate withdrawal symptoms																																																																																						
27	2996642	C0683278	Mental Suffering	C0036341	Schizophrenia	C0233660	Mental blocking	C0001721	Affect (mental function)	C0221198	Lesion	C1397014	Imbalance	C0036341	Schizophrenia	C0871189	Psychotic symptom																																																																												
28	2996577	C0086045	Mental concentration	C0086045	Mental concentration	C1273517	Used by	C0877006	cholinesterase inhibition	C0086045	Mental concentration																																																																																		
29	2995431	C0150312	Present	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C3843504	1 - 3	C0237677	insensitivity	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C0033375	Prolactinoma	C4284035	Partial Response with Lymphocytosis	C1444656	Indicated	C0033375	Prolactinoma	C4284035	Partial Response with Lymphocytosis																																																																				
30	2938344	C0543488	Interested	C0004268	Attention	C0679199	strategy																																																																																						
31	2936981	C0848255	female puberty	C0850310	Possessed	C1628325	Pre-pubertal	C0150312	Present	C0150312	Present	C1628325	Pre-pubertal	C0442726	Detected (finding)	C0150312	Present	C0150312	Present	C0150312	Present	C1628325	Pre-pubertal	C0150312	Present	C0596130	attribution	C0012154	Diestrus	C0012154	Diestrus	C1628325	Pre-pubertal	C1628325	Pre-pubertal	C0233891	Finding related to maturity of sexuality	C2825142	Experimental Result																																																						
32	2936912	C0015967	Fever	C0038435	Stress	C0020672	Hypothermia, natural	C0038435	Stress	C2825142	Experimental Result																																																																																		
33	2935140	C0035280	Retention (Psychology)	C0870186	avoidance	C0001721	Affect (mental function)	C0036974	Shock	C0035280	Retention (Psychology)	C3844638	Either	C0036974	Shock	C0035280	Retention (Psychology)	C0700327	Memory observations	C0700327	Memory observations	C0035280	Retention (Psychology)	C2825142	Experimental Result	C0001721	Affect (mental function)	C0035280	Retention (Psychology)																																																																
34	2934749	C0332149	Possible	C0004135	Ataxia Telangiectasia	C3843787	10 - 12	C2984079	Somewhat	C3843787	10 - 12	C0004135	Ataxia Telangiectasia	C1299583	Independently able	C1504561	Hypophagia																																																																												
35	2934748	C3843766	<50	C0020505	Hyperphagia	C3843766	<50	C3843766	<50	C0020505	Hyperphagia	C1504561	Hypophagia	C0020505	Hyperphagia	C1444656	Indicated	C0020505	Hyperphagia	C1504561	Hypophagia	C1504561	Hypophagia	C0344315	Depressed mood	C1290940	Independent for Transfer	C1504561	Hypophagia																																																																
36	2934578	C4055506	Accumulation	C4055506	Accumulation	C3844638	Either	C4055506	Accumulation	C0342366	LH hypersecretion																																																																																		
37	2934018	C0150312	Present	C0231287	Postoperative state	C0150312	Present	C2825142	Experimental Result																																																																																				
38	2932351	C0150312	Present	C0150312	Present	C0150312	Present	C1444656	Indicated	C0086045	Mental concentration	C0150312	Present	C0086045	Mental concentration	C0442726	Detected (finding)	C0150312	Present	C0150312	Present	C0232970	Postmenopausal state	C0086045	Mental concentration																																																																				
39	2932324	C1720436	Under anesthesia	C3843766	<50	C0450407	ph+	C0450407	ph+	C3841724	0 - Low	C3844729	Very Important	C1545588	Protection																																																																														
40	2871545	C0948482	analgesic effect	C0948482	analgesic effect	C3843504	1 - 3	C0948482	analgesic effect	C0948482	analgesic effect	C0521654	Neurologic Deficits	C0332219	Easy	C0344307	Absence of pain sensation	C0948482	analgesic effect	C0518609	consideration																																																																								
41	2867931	C1527225	Radiation-induced disorder	C0332685	Thermal injury	C0332685	Thermal injury	C0006434	Burn injury	C1527225	Radiation-induced disorder	C0332685	Thermal injury	C0332685	Thermal injury																																																																														
42	2867881	C2825142	Experimental Result																																																																																										
43	2867562	C3844638	Either	C0036239	Satiation	C0004268	Attention	C2825141	Experimental Finding	C0035397	Rewards	C3843766	<50	C0020505	Hyperphagia	C0543488	Interested																																																																												
44	2867561	C0001721	Affect (mental function)	C0742985	debilitation	C0038272	Stereotyping																																																																																						
45	2867174	C3843766	<50	C0020672	Hypothermia, natural	C3843766	<50																																																																																						
46	2867110	C0003469	Anxiety Disorders	C0349231	Phobic anxiety disorder	C0700613	Anxiety state	C0700613	Anxiety state	C0086769	Panic Attacks	C0086972	Separated from cohabitee	C0270549	Generalized Anxiety Disorder	C0030319	Panic Disorder	C0233397	Psychological symptom	C0596545	Experience	C0332218	Difficult (qualifier value)	C0086769	Panic Attacks	C0162340	Comprehension	C0332149	Possible	C0003469	Anxiety Disorders																																																														
47	2866830	C2215257	Acute postoperative pain	C2712015	Better Pain	C0564405	Feeling relief	C2712015	Better Pain	C0564405	Feeling relief	C3533236	Mean score	C3843766	<50	C4055223	Clinical Response	C4055223	Clinical Response	C1273937	Not significant																																																																								
48	2866729	C3843766	<50	C3843766	<50	C0235195	Sedated state	C1555289	Assessed patient - therapy appropriate	C0522165	Feeling calm	C0013144	Drowsiness																																																																																
49	2866221	C0277785	Functional disorder	C0162340	Comprehension																																																																																								
50	2866209	C0020456	Hyperglycemia	C2825142	Experimental Result	C0020456	Hyperglycemia	C0020456	Hyperglycemia	C2825142	Experimental Result	C1709157	Negative Surgical Margin	C0439821	Pricking sensation quality	C0015726	Fear (Mental Process)	C0034634	Rage	C2825142	Experimental Result	C0425945	Prolonged menses	C0020456	Hyperglycemia	C0600138	Does play	C0011860	Diabetes Mellitus, Non-Insulin-Dependent																																																																
51	2866037	C0150312	Present	C0150312	Present	C0150312	Present	C4055506	Accumulation																																																																																				
52	2865892																																																																																												
53	2865692	C1273517	Used by	C0699809	Does carry	C0150312	Present	C3838679	4+ Answer to question																																																																																				
54	2865667	C0342587	Drug-induced hyperkalemia	C0184511	Improved	C0020461	Hyperkalemia	C1273517	Used by	C1955473	Others - Allergy	C0020461	Hyperkalemia	C0011849	Diabetes Mellitus	C0035078	Kidney Failure	C0020595	Hypoaldosteronism	C2825142	Experimental Result	C0020461	Hyperkalemia	C0240320	medication use	C0020461	Hyperkalemia																																																																		
55	2865357	C0424295	Hyperactive behavior	C0150312	Present	C2825142	Experimental Result	C2825142	Experimental Result	C0311429	Decreased excretory function	C0009647	Conditioning (Psychology)	C0150312	Present	C2825142	Experimental Result																																																																												
56	2865342	C0333262	Vesicle (morphologic abnormality)	C3843765	65+	C3843766	<50	C3843766	<50	C3843766	<50																																																																																		
57	2865173	C0162340	Comprehension	C0241448	TONIC CONTRACTION	C1140999	Contraction (finding)	C0460139	Pressure (finding)	C1140999	Contraction (finding)	C1955473	Others - Allergy	C0001721	Affect (mental function)	C1140999	Contraction (finding)																																																																												
58	2865027	C0332128	Examined	C0013146	Drug abuse	C0728710	Pupil constriction observed	C0311392	Physical findings	C1457887	Symptoms	C0870814	liking	C0235146	Euphoric mood	C0013146	Drug abuse	C1955473	Others - Allergy	C0013146	Drug abuse																																																																								
59	2865000	C0332128	Examined	C1962977	Pain NOS Adverse Event	C1306459	Primary malignant neoplasm	C0033213	Problem	C1962977	Pain NOS Adverse Event	C1306459	Primary malignant neoplasm	C0233702	Algophobia	C0679006	Decision	C0150312	Present	C1306459	Primary malignant neoplasm	C0030971	Perception	C0391976	Pain Disorder	C0012634	Disease	C2347948	Reluctance	C0004268	Attention	C0233702	Algophobia	C0012634	Disease	C1291732	Treatment pain	C1458132	Treatment/Psychosocial Effects																																																						
60	2418368	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C0020429	Hyperalgesia	C4281574	Much	C0021467	Psychological inhibition	C0162340	Comprehension	C0020429	Hyperalgesia	C0600138	Does play																																																																												
61	2417263	C0150312	Present																																																																																										
62	2415705	C0425382	Personal status - Adopted	C0425382	Personal status - Adopted	C0425382	Personal status - Adopted	C1273518	Responsible to																																																																																				
63	2413818	C0029104	Opioid withdrawal	C2825141	Experimental Finding	C0150312	Present	C0439857	Dependence	C0311392	Physical findings	C0087169	Withdrawal Symptoms	C3808225	Autonomic signs	C1457887	Symptoms	C0231218	Malaise	C0030971	Perception																																																																								
64	2998381	C0086045	Mental concentration																																																																																										
65	2998376	C0746619	monoclonal	C0233660	Mental blocking	C4055506	Accumulation																																																																																						
66	4085540	C0234421	Conscious	C0036572	Seizures	C1140999	Contraction (finding)	C2825142	Experimental Result																																																																																				
