	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
0	435545	C0001721	Affect (mental function)	C4484165	Conductivity																																																																				
1	433657	C0489749	Rectal temperature	C0489749	Rectal temperature	C0449381	Observation parameter																																																																		
2	425765	C0001973	Alcoholic Intoxication, Chronic	C0001973	Alcoholic Intoxication, Chronic	C0001973	Alcoholic Intoxication, Chronic	C0235181	character change	C0085281	Addictive Behavior	C0442797	Decreasing	C0001973	Alcoholic Intoxication, Chronic																																																										
3	421966	C0029408	Degenerative polyarthritis	C3844638	Either	C1273937	Not significant	C1273517	Used by	C0029408	Degenerative polyarthritis	C0029408	Degenerative polyarthritis																																																												
4	419367	C0424755	Fever symptoms (finding)	C0332128	Examined	C0007952	Personality Character	C0427965	Antimicrobial susceptibility	C0332128	Examined	C0449416	Source																																																												
5	398127	C0596545	Experience	C1838994	Rapid onset	C0948482	analgesic effect	C0235063	Respiratory Depression	C0948482	analgesic effect																																																														
6	394300	C0037036	Sialorrhea	C0235195	Sedated state	C1273517	Used by	C0233485	apprehension	C0233485	apprehension																																																														
7	393788	C3838679	4+ Answer to question	C0557351	Employed	C3838679	4+ Answer to question	C0948482	analgesic effect	C3845260	Minimal activity																																																														
8	391629	C0033893	Tension Headache																																																																						
9	389190	C0043084	Weaning	C2825142	Experimental Result	C0014371	Enterotoxemia																																																																		
10	380617	C1444648	Offered	C0278139	Moderate pain	C1306459	Primary malignant neoplasm	C0596240	Cancer Pain	C1273517	Used by	C0682295	Full-time employment (finding)	C0332218	Difficult (qualifier value)	C0278144	Dull pain	C0234238	Ache	C0018681	Headache	C0439857	Dependence	C0013220	Drug Tolerance	C0879626	Adverse effects	C0013144	Drowsiness	C0242510	Drug usage	C1963087	Constipation Adverse Event	C0879626	Adverse effects	C0237607	Practice Experience																																				
11	380616																																																																								
12	378732	C0557351	Employed	C0278140	Severe pain	C0018811	Heart Rate, Fetal	C0879626	Adverse effects	C0879626	Adverse effects	C0879626	Adverse effects																																																												
13	378555	C0004448	Awareness	C0027066	Myoclonus	C1096717	pain during injection																																																																		
14	371339	C0155626	Acute myocardial infarction	C3843766	<50	C1962977	Pain NOS Adverse Event	C0027497	Nausea	C0042963	Vomiting	C0003811	Cardiac Arrhythmia	C0034063	Pulmonary Edema	C0020649	Hypotension	C0009566	Complication	C3843766	<50	C0155626	Acute myocardial infarction	C0150312	Present	C0155626	Acute myocardial infarction																																														
15	363995	C0344315	Depressed mood	C0578757	Good neonatal condition at birth	C3844638	Either	C0879626	Adverse effects	C0423527	Finding of response to sound	C1443086	Alertness	C1443086	Alertness	C0558058	Reflecting	C1998827	Respiratory Status																																																						
16	314716	C4035626	3 times	C0086045	Mental concentration	C0039231	Tachycardia	C1963138	Hypertension Adverse Event	C0919726	Postoperative hypertension	C0857121	Hypertensive (finding)	C0007166	Low Cardiac Output	C0150312	Present	C1273517	Used by	C0589120	Follow-up status																																																				
17	312529	C0600138	Does play	C0948482	analgesic effect	C0150312	Present	C3840786	Greatly	C2825142	Experimental Result																																																														
18	299451	C0030201	Pain, Postoperative	C1962977	Pain NOS Adverse Event																																																																				
19	290726	C3843766	<50	C3843766	<50	C0848200	postpartum pain	C0687133	Drug Interactions	C0043250	Injury wounds	C0567085	Pain of uterus	C0026821	Muscle Cramp	C0458254	Cramping pain	C1510411	metaplastic cell transformation																																																						
20	288348	C0150312	Present	C0150312	Present	C2825142	Experimental Result	C0220929	Mental tolerance																																																																
21	288347	C0876994	Cardiotoxicity	C0600688	Toxic effect	C0036572	Seizures	C0235063	Respiratory Depression	C0876994	Cardiotoxicity	C3160947	CNS Toxic effect	C0150312	Present	C4281574	Much	C0422879	CNS symptom																																																						
22	287855	C0600688	Toxic effect	C0745701	Acute lymphoblastic leukemia CHEMOTHERAPY	C0544452	Disease remission	C0449381	Observation parameter	C1704632	Disease Response	C2825142	Experimental Result	C4054793	Hematologic Response	C0596545	Experience	C3841798	Not well																																																						
23	285913	C1140999	Contraction (finding)	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion	C2825142	Experimental Result	C1140999	Contraction (finding)	C1140999	Contraction (finding)																																																										
24	263540	C0235063	Respiratory Depression	C0014175	Endometriosis	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0004268	Attention	C3838679	4+ Answer to question	C0009791	Consciousness related finding	C0162425	Intention - mental process	C0425560	Cardiovascular finding	C0879626	Adverse effects	C0332149	Possible	C0332219	Easy	C0235063	Respiratory Depression	C0871633	desire																																												
25	232873	C1962977	Pain NOS Adverse Event	C3263722	Traumatic AND/OR non-traumatic injury	C0849912	Emotional	C0237607	Practice Experience	C0027769	Nervousness	C0237607	Practice Experience	C0849912	Emotional	C0542559	contextual factors	C0030193	Pain	C1962977	Pain NOS Adverse Event	C0010957	Tissue damage	C0237607	Practice Experience	C1962977	Pain NOS Adverse Event	C0231303	Distress	C1962977	Pain NOS Adverse Event	C0849912	Emotional	C0013987	Emotions	C0231303	Distress	C0850310	Possessed	C0237607	Practice Experience	C0162340	Comprehension	C0231303	Distress	C1962977	Pain NOS Adverse Event																										
26	232725	C1720436	Under anesthesia	C3838679	4+ Answer to question																																																																				
27	232563	C0003808	Arousal	C0442797	Decreasing	C0442797	Decreasing	C0037322	Sleep, REM																																																																
28	232441	C2712122	Normal blood pressure	C0558058	Reflecting	C0460139	Pressure (finding)	C0020538	Hypertensive disease																																																																
29	232257	C0005700	Blast Injuries	C0543488	Interested	C0150312	Present																																																																		
30	226344	C0021467	Psychological inhibition	C2825142	Experimental Result	C3843354	Extremely Difficult																																																																		
31	225122	C0858353	addicted to heroin	C0015663	Fasting	C4304523	Withdrawal sign	C0558058	Reflecting	C0087169	Withdrawal Symptoms	C3242274	new therapy																																																												
32	224662	C0150312	Present	C2825142	Experimental Result	C2825142	Experimental Result																																																																		
33	224659	C2732635	Possible clinical finding																																																																						
34	223616	C0728867	Drug effect disorder	C0728867	Drug effect disorder																																																																				
35	219728	C0474704	Anesthetic agent concentration	C0474704	Anesthetic agent concentration	C0474704	Anesthetic agent concentration	C0474704	Anesthetic agent concentration																																																																
36	216449	C0011570	Mental Depression	C1140999	Contraction (finding)	C0442797	Decreasing	C0011570	Mental Depression	C3840786	Greatly	C2825142	Experimental Result																																																												
37	216447	C3843766	<50	C3843766	<50																																																																				
38	216330	C0589098	Focused attention	C0150312	Present	C0036341	Schizophrenia	C0036341	Schizophrenia																																																																
39	215749	C0333165	Acute obstruction	C3843766	<50	C2825142	Experimental Result																																																																		
40	160809	C0150312	Present	C0338777	Opium Dependence	C3841787	7 - 9	C1273517	Used by	C0442760	3/9	C1273517	Used by	C0221423	Illness (finding)	C0000737	Abdominal Pain	C0085281	Addictive Behavior																																																						
41	160312	C0699809	Does carry	C0332128	Examined	C0015967	Fever	C0150312	Present	C0235723	reaction febrile	C0235723	reaction febrile	C0150312	Present	C0235723	reaction febrile	C0001721	Affect (mental function)																																																						
42	121344	C0237607	Practice Experience	C0237607	Practice Experience	C2911690	Disease Controlled																																																																		
43	121342																																																																								
44	121341	C0683954	research results	C2984079	Somewhat	C0026516	Mood (psychological function)	C0026516	Mood (psychological function)	C0013987	Emotions	C4508986	Improved mood	C0026516	Mood (psychological function)	C0086168	Dissociation	C0596764	impression (attitude)	C0150055	Chronic pain	C0877373	advanced cancer	C0030201	Pain, Postoperative																																																
45	121191																																																																								
46	120547	C4281574	Much																																																																						
47	120535	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0442797	Decreasing																																																														
48	119638	C0442726	Detected (finding)																																																																						
49	119273	C1444656	Indicated	C0150312	Present	C2825142	Experimental Result	C2825142	Experimental Result	C0012632	Discrimination (process of differentiation)																																																														
50	115478	C0150312	Present	C1514241	Positive Finding	C0150312	Present																																																																		
51	113790	C2239178	Newborn (finding)	C0004268	Attention	C0750479	blank	C0449381	Observation parameter																																																																
52	94866	C0040038	Thromboembolism	C0009566	Complication	C0683314	personal health	C0042487	Venous Thrombosis	C0425705	Flow in veins	C0087086	Thrombus	C2586211	Thrombosis of blood vessel	C0087086	Thrombus																																																								
53	45567	C3840786	Greatly	C0220929	Mental tolerance	C0439857	Dependence	C0442750	Distance vision 6/6	C0442750	Distance vision 6/6	C0086168	Dissociation	C0278080	Physical addiction	C3838679	4+ Answer to question	C0948482	analgesic effect	C0220929	Mental tolerance	C0085281	Addictive Behavior	C0220929	Mental tolerance	C0150312	Present	C0476481	Chronic intractable pain	C0235146	Euphoric mood	C1332133	Abstinence Syndrome																																								
54	44372	C0442749	6/5	C0442797	Decreasing	C0442797	Decreasing	C0442797	Decreasing																																																																
55	43349	C4264481	4 times	C0442804	Very high	C4297006	Increase dose	C4297007	Decrease dose	C0009806	Constipation	C1290992	Smooth muscle spasm																																																												
56	42872	C0015967	Fever																																																																						
57	42812																																																																								
58	42594	C3843766	<50	C1962977	Pain NOS Adverse Event	C1555289	Assessed patient - therapy appropriate	C1962977	Pain NOS Adverse Event	C0278139	Moderate pain	C0015663	Fasting	C0278140	Severe pain	C0879626	Adverse effects	C0278139	Moderate pain																																																						
59	40490	C0033213	Problem	C0449381	Observation parameter	C0150312	Present	C0332149	Possible	C0014518	Toxic Epidermal Necrolysis	C0085639	Falls	C0428886	Mean blood pressure	C0038454	Cerebrovascular accident	C0038454	Cerebrovascular accident	C0332149	Possible	C0220981	Metabolic acidosis	C0332149	Possible	C1518681	Outcome of Therapy																																														
60	40473	C0332149	Possible	C0392008	Complication of anesthesia	C0270611	Brain Injuries	C0332219	Easy	C0858952	silence																																																														
61	39581	C0041582	Ulcer	C1720436	Under anesthesia	C0028778	Obstruction	C0150312	Present	C0038358	Gastric ulcer																																																														
62	39381	C0027651	Neoplasms	C1444657	Contraindicated																																																																				
63	38958	C0570978	Dopamine allergy	C0020517	Hypersensitivity	C0233490	Hyposensitivity	C0233490	Hyposensitivity	C0449381	Observation parameter																																																														
64	38646	C0012632	Discrimination (process of differentiation)	C0518609	consideration	C0332218	Difficult (qualifier value)	C4281574	Much	C1955473	Others - Allergy	C4281574	Much	C0850310	Possessed																																																										
65	37595	C0600138	Does play	C0036341	Schizophrenia	C0036341	Schizophrenia	C1444656	Indicated	C0424295	Hyperactive behavior	C0036341	Schizophrenia	C2825142	Experimental Result																																																										
66	36111	C0344315	Depressed mood	C0024967	Maximal Voluntary Ventilation	C0450407	ph+	C0449381	Observation parameter	C0205160	Negative	C0030193	Pain																																																												
67	35761	C3843766	<50																																																																						
68	33396	C0150312	Present	C1444648	Offered	C0150312	Present																																																																		
69	32058	C0007370	Catalepsy	C0007370	Catalepsy	C2825142	Experimental Result	C0007370	Catalepsy	C0030567	Parkinson Disease																																																														
70	732666	C0600138	Does play	C1705232	Death Related to Adverse Event	C3843766	<50	C3840880	Traffic	C0445223	Related personal status	C0574035	Motorcycle accident	C0362060	Legal problems	C0281875	Illicit medication use																																																								
71	740050	C2239178	Newborn (finding)	C2239178	Newborn (finding)	C0001721	Affect (mental function)	C4296962	Normal function	C0235032	Neurotoxicity Syndromes																																																														
72	737473	C3843766	<50	C1510472	Drug Dependence	C0572916	Barbiturate overdose	C0556391	Notified addict	C0085281	Addictive Behavior	C0558058	Reflecting	C0085281	Addictive Behavior	C2826217	No Assessment																																																								
73	103726	C0680844	estimation <subjective>	C0012634	Disease																																																																				
74	738360	C0234421	Conscious	C1720436	Under anesthesia	C0428642	Pulmonary artery pressure	C0234421	Conscious	C1720436	Under anesthesia	C0857353	Hypotensive	C2825142	Experimental Result	C0683954	research results	C1444656	Indicated	C1273517	Used by																																																				
75	738356	C4297006	Increase dose	C1140999	Contraction (finding)	C0231530	Muscle twitch	C2825142	Experimental Result	C1140999	Contraction (finding)																																																														
76	729748	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis																																																																				
77	729733	C1262477	Weight decreased																																																																						
78	729731	C0236734	Caffeine related disorders	C0424522	Asleep	C0162429	Malnutrition	C0162429	Malnutrition																																																																
79	216046	C0332128	Examined	C2825032	Withdrawal (dysfunction)	C0037322	Sleep, REM	C0037322	Sleep, REM	C0037322	Sleep, REM	C0152128	Drug withdrawal syndrome	C0013220	Drug Tolerance	C2825032	Withdrawal (dysfunction)																																																								
80	104346	C0007370	Catalepsy	C0007370	Catalepsy	C0001721	Affect (mental function)	C0007370	Catalepsy	C2825142	Experimental Result	C0007370	Catalepsy	C1554187	Gender Status - Intact	C3844638	Either	C0600138	Does play	C0007370	Catalepsy	C0007370	Catalepsy																																																		
81	104339	C0012632	Discrimination (process of differentiation)																																																																						
82	104338	C3665983	Oral aversion	C2825142	Experimental Result	C1444656	Indicated	C0233496	Aversion (finding)																																																																
83	281640	C2587207	For resuscitation (finding)																																																																						
84	728741	C0332128	Examined	C0085639	Falls	C0428886	Mean blood pressure	C0085639	Falls	C0428886	Mean blood pressure	C1268766	Blood pressure alteration (finding)	C1273517	Used by																																																										
85	21348352	C1962977	Pain NOS Adverse Event																																																																						
86	152460	C0150312	Present																																																																						
87	104336	C0007370	Catalepsy	C0221505	Lesion of brain	C2825142	Experimental Result	C1457887	Symptoms	C0007370	Catalepsy	C0220929	Mental tolerance	C0007370	Catalepsy	C0541749	Does turn (finding)	C0221505	Lesion of brain	C3151529	Lethal																																																				
88	104335	C3843766	<50	C0235195	Sedated state																																																																				
89	755060	C2825142	Experimental Result	C1444656	Indicated	C0015967	Fever	C0009649	Conditioning, Classical	C0020672	Hypothermia, natural	C0150312	Present	C0015967	Fever	C0220929	Mental tolerance	C0262512	History of present illness	C0015967	Fever	C0020672	Hypothermia, natural	C0020672	Hypothermia, natural	C2825142	Experimental Result	C0220929	Mental tolerance	C0015967	Fever	C0220929	Mental tolerance	C0220929	Mental tolerance	C0015967	Fever	C0220929	Mental tolerance	C0333169	Partial obstruction	C0009649	Conditioning, Classical	C0015967	Fever	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance																						
90	754203	C1301624	Medical contraindication	C2700612	Disorder of digestive tract																																																																				
91	751438	C2004489	Regurgitation	C2827071	Unintentional Material Aspiration	C1273517	Used by	C0014518	Toxic Epidermal Necrolysis	C2825142	Experimental Result	C0442797	Decreasing																																																												
92	747691	C1963140	Hypoxia Adverse Event																																																																						
93	747472	C3151529	Lethal	C3843708	29+	C3843708	29+	C0020672	Hypothermia, natural	C0015967	Fever	C0020672	Hypothermia, natural	C3843708	29+	C0150312	Present	C3843708	29+	C0015967	Fever	C0015967	Fever																																																		
94	746066	C0020792	Identification (Psychology)	C0851043	Increased lipid																																																																				
95	745306	C4304523	Withdrawal sign	C2825142	Experimental Result	C0220929	Mental tolerance																																																																		
96	743490	C0004565	Melanoma, B16	C1273517	Used by	C0027651	Neoplasms	C0027651	Neoplasms	C0027651	Neoplasms	C0558058	Reflecting	C0333957	Growth acceleration	C0558058	Reflecting	C0456070	Growth delay	C0004565	Melanoma, B16	C2825142	Experimental Result																																																		
97	742831	C1306597	Psychiatric problem	C0003467	Anxiety	C0003467	Anxiety	C2936632	Self-Appraisal	C0700327	Memory observations	C0700327	Memory observations	C0025265	Memory, Short-Term	C0023185	Learning	C0544885	Nonsense mutation	C0030971	Perception	C1306597	Psychiatric problem	C1273517	Used by	C1306597	Psychiatric problem																																														
98	741854	C0015934	Fetal Growth Retardation	C0858353	addicted to heroin	C0860096	Primigravida	C0481667	Live Birth	C0810062	Liveborn	C2825142	Experimental Result	C0019337	Heroin Dependence																																																										
99	741850	C2825142	Experimental Result	C0332128	Examined																																																																				
100	740629	C0344315	Depressed mood	C0011570	Mental Depression	C0009791	Consciousness related finding	C0558058	Reflecting																																																																
101	733135	C3805063	Sinusoidal Fetal Heart Rate Pattern	C0564405	Feeling relief	C0474368	Labor Pain	C0549400	Low APGAR score	C0009566	Complication	C0701826	Perinatal death																																																												
102	731438	C3844638	Either	C0235063	Respiratory Depression	C0220929	Mental tolerance	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C4281574	Much	C0220929	Mental tolerance	C0235063	Respiratory Depression	C0235063	Respiratory Depression																																																						
103	731437	C0150312	Present	C3844638	Either																																																																				
104	731435	C0220929	Mental tolerance	C2825142	Experimental Result	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C2825142	Experimental Result	C0220929	Mental tolerance	C0220929	Mental tolerance	C0442797	Decreasing	C0220929	Mental tolerance	C1319203	Activity tolerance	C0220929	Mental tolerance																																																
105	731414	C2825142	Experimental Result	C2825142	Experimental Result	C0086045	Mental concentration																																																																		
106	729925	C0423527	Finding of response to sound	C3844638	Either																																																																				
107	729643	C0344307	Absence of pain sensation	C0456879	TNM certainty factor C1	C0344307	Absence of pain sensation																																																																		
108	728680	C0231530	Muscle twitch	C0086045	Mental concentration	C0231530	Muscle twitch	C1140999	Contraction (finding)	C1140999	Contraction (finding)	C0344315	Depressed mood	C0231530	Muscle twitch	C0231530	Muscle twitch	C2825142	Experimental Result																																																						
109	722742	C3843708	29+	C0443343	Unstable status																																																																				
110	722500	C0010278	Craniosynostosis																																																																						
111	570446	C0456240	Core body temperature	C0009651	Operant Conditioning	C0456240	Core body temperature	C0231239	Fluctuation																																																																
112	569695	C0150312	Present	C0850310	Possessed	C0424543	Response to pain finding	C0557351	Employed	C0392703	Shakes	C0392703	Shakes	C4304523	Withdrawal sign																																																										
